#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
7340	847957	14487710066
7350	849399	14513590247
7360	851143	14558454110
7370	852291	14581927219
7380	853666	14608321271
7390	855166	14649598204
7400	856204	14674422717
7410	857528	14700521084
7420	858567	14726382529
7430	859418	14746711761
7440	860370	14767634369
7450	861008	14786746864
7460	861931	14810079372
7470	862555	14829780812
7480	863817	14853183243
7490	865455	14886664612
7500	866797	14922077663
7510	867847	14945634953
7520	868773	14968040199
7530	869747	14989916799
7540	870582	15011881260
7550	871810	15034248499
7560	874409	15081076366
7570	878048	15137120622
7580	881712	15191763060
7590	884768	15247709237
7600	888180	15301150461
7610	891294	15356331851
7620	894147	15412363132
7630	897282	15466795628
7640	903831	15521389293
7650	907486	15576343108
7660	910626	15632501980
7670	914493	15686500250
7680	914644	15687206182
7690	914649	15687214902
7700	914653	15687223119
7710	914658	15687231383
7720	914662	15687239638
7730	914666	15687247907
7740	914671	15687256219
7750	914674	15687264007
7760	914678	15687271761
7770	914681	15687279429
7780	914684	15687286999
7790	914687	15687294798
7800	914691	15687302482
7810	914695	15687310225
7820	914698	15687318076
7830	914702	15687325870
7840	914705	15687333633
7850	914708	15687341390
7860	914711	15687349140
7870	914714	15687356881
7880	914717	15687364651
7890	914720	15687372357
7900	916850	15708495353
7910	919582	15753831028
7920	923153	15810045600
7930	926926	15865624453
7940	932326	15920008642
7950	935733	15976064145
7960	940819	16030813933
7970	944679	16085396119
7980	948803	16140853761
7990	953122	16197206124
8000	956623	16252246453
8010	959904	16309243376
8020	964626	16364460968
8030	968288	16418528203
8040	972320	16473206942
8050	975852	16529363616
8060	979950	16583924665
8070	984160	16638805803
8080	988032	16693990655
8090	990576	16750932809
8100	991033	16762550522
8110	991037	16762558713
8120	991041	16762566518
8130	991044	16762574059
8140	991047	16762581661
8150	991051	16762588958
8160	991054	16762596388
8170	991057	16762603803
8180	991060	16762611481
8190	991063	16762619097
8200	991066	16762626487
8210	991069	16762634148
8220	991072	16762641681
8230	991075	16762649325
8240	991078	16762656683
8250	991081	16762664400
8260	991084	16762671964
8270	991087	16762679728
8280	991090	16762687358
8290	991093	16762694953
8300	991096	16762702600
8310	991099	16762710242
8320	991103	16762717707
8330	991106	16762725397
8340	991109	16762732872
8350	991113	16762740432
8360	991117	16762747748
8370	991120	16762755345
8380	991123	16762763089
8390	991524	16763695735
8400	993003	16788870757
8410	995539	16834303798
8420	999569	16889407659
8430	1003234	16942795115
8440	1006197	16998597476
8450	1007978	17031082084
8460	1007985	17031090139
8470	1007990	17031098815
8480	1008032	17031106926
8490	1008036	17031114527
8500	1011673	17049738774
8510	1014069	17097361228
8520	1017510	17152222205
8530	1021640	17205281869
8540	1022125	17215298746
8550	1022130	17215306898
8560	1022134	17215314624
8570	1022137	17215322163
8580	1022140	17215329617
8590	1022143	17215337331
8600	1022146	17215344979
8610	1022149	17215352608
8620	1022152	17215360219
8630	1022156	17215367914
8640	1022159	17215375531
8650	1022162	17215383160
8660	1022168	17215390724
8670	1022171	17215398380
8680	1022174	17215406068
8690	1022177	17215413801
8700	1022180	17215421492
8710	1022183	17215429093
8720	1022187	17215436660
8730	1022190	17215444285
8740	1022193	17215451955
8750	1022197	17215459590
8760	1022200	17215467202
8770	1022203	17215474942
8780	1022206	17215482469
